codiv_taxa	codiv_clade	codiv_lineage	hostSpecies
Bonobo2193524 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4214599 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo23228 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo9846630 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo2078905 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo11768907 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4214590 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Chimp3781815 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2	chimp
Chimp5183434 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2	chimp
Chimp5211526 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2	chimp
