SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
nw.hu.HADZA.3201.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	106	106.2	0.621174393482735	106.486266893491	4.68830222045658	3.27502418247327	0.889564864216997	9.05508915174361	13.759959351	106
nw.hu.HADZA.3205.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	102	102	0.248771491336851	102.270791111111	3.23041289354832	3.67808608836246	0.945355012111838	18.29994000633	9.583851408	102
nw.hu.HADZA.357.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	138	138.333333333333	0.925525125212693	138.441314900778	4.47740125686529	4.11563839822514	0.967890703074353	31.1436280375623	16.943352936	138
nw.hu.HADZA.355.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	134	134	0	134	5.36989952378277	3.39075386618406	0.920507158684694	12.579749112672	18.44976314	134
nw.hu.HADZA.356.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	128	128.142857142857	0.486810868729534	128.586556405696	5.1071828148433	3.68252242337639	0.935586214061424	15.5246269945005	16.109806682	128
nw.hu.HADZA.354.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	109	109	0.0995402274496796	109.228220578906	4.69011574299921	3.73119664012405	0.954783048065625	22.1155995090365	13.360939264	109
nw.hu.HADZA.362.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	163	163	0.49846389805954	163.151832460733	4.85719336513538	4.20246567272922	0.965191571800267	28.7286743963833	19.689403183	163
nw.hu.HADZA.3288.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	89	89	0	89	3.86572376466802	3.23882501647977	0.918748622932731	12.3074837140556	12.190900434	89
nw.hu.HADZA.3286.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	114	114	0	114	4.70162345981627	3.19664973338434	0.89887898185901	9.88914093611807	15.443429916	114
nw.hu.HADZA.3141.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	151	151	0	151	4.77576664210758	3.980019728927	0.95750042771491	23.5296485642707	20.399617548	151
nw.hu.HADZA.3140.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	157	157.75	1.42314370502439	157.798744689968	5.5086701747707	3.89464667482587	0.949814247823022	19.9259741385075	17.92047261	157
nw.hu.HADZA.177.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	98	98	0	98	4.13052351280027	3.35432135407352	0.904095852777748	10.4270777538177	12.727181541	98
nw.hu.HADZA.272.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	127	129	2.88436338040993	127.98944119678	5.49617411192941	3.19072876720256	0.899706632051279	9.97074901813343	16.594834361	127
nw.hu.HADZA.274.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	135	138.75	4.2083185598706	136.71345921725	5.37315399693058	2.97177468405907	0.818097336634747	5.49744562008991	16.855549995	135
nw.hu.HADZA.257.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	158	158.25	0.736445278954353	158.581519449129	4.95751820681802	4.47096439958755	0.983584027751192	60.9162823159985	15.859485401	158
nw.hu.HADZA.265.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	195	195	0.2493581504172	195.153846153846	6.30028012675234	4.47537092606892	0.980125791868286	50.3164701392178	19.131000738	195
nw.hu.HADZA.266.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	186	186.25	0.736508262778456	186.366783997936	5.8425294231964	4.46157387896179	0.977856400894603	45.1597771094169	20.89193516	186
nw.hu.HADZA.3035.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	136	136	0	136	5.54593120595419	3.15227374677226	0.839812386846174	6.24267994454549	17.799679311	136
nw.hu.HADZA.3019.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	53	53	0	53	3.04680469802784	2.75545126406924	0.882891479077076	8.53908829279947	5.829215529	53
nw.hu.HADZA.384.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	139	139	0	139	5.11732843969509	3.59021869437573	0.923955704461944	13.1502303088541	17.794982111	139
nw.hu.HADZA.379.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	135	135	0.166048235344147	135.172995780591	5.32189977600667	3.88023762568493	0.959313510024732	24.5781830924188	15.0734188	135
nw.hu.HADZA.346.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	155	155.6	1.18594532922368	155.770115674343	5.81926910901102	3.75028871210872	0.939073262123236	16.4131551244822	20.302776837	155
